premise_v2,hypothesis_v2,premise_sentences,hypothesis_sentences,labels,label_name,premise_lemma,premise_pos,hypothesis_lemma,hypothesis_pos
"Жінка, одягнена в костюм танцювання на животі, стоїть біля асфалтованої вулиці.",Танцювача на животі виступає біля вулиці.,"['Жінка, одягнена в костюм танцювання на животі, стоїть біля асфалтованої вулиці.']",['Танцювача на животі виступає біля вулиці.'],1,neutral,"жінка , одягнений в костюм танцювання на живіт , стояти біля асфалтований вулиця .",NOUN PUNCT ADJ ADP NOUN NOUN ADP NOUN PUNCT VERB ADP ADJ NOUN PUNCT,танцювач на живіт виступати біля вулиця .,NOUN ADP NOUN VERB ADP NOUN PUNCT
"Молода дівчина в джинсах і білої рубашії стоїть на траві, тримаючи в руках лионів.",Дівчина носить джинси.,"['Молода дівчина в джинсах і білої рубашії стоїть на траві, тримаючи в руках лионів.']",['Дівчина носить джинси.'],0,entailment,"молодий дівчина в джинса і білий рубашія стояти на траві , тримати в рука лион .",ADJ NOUN ADP NOUN CCONJ ADJ NOUN VERB ADP NOUN PUNCT VERB ADP NOUN NOUN PUNCT,дівчина носити джинса .,NOUN VERB NOUN PUNCT
Чоловік у червоній маску сну спить на поїзді.,Чоловік на літаку.,['Чоловік у червоній маску сну спить на поїзді.'],['Чоловік на літаку.'],2,contradiction,чоловік у червоний маска сон спати на поїзд .,NOUN ADP ADJ NOUN NOUN VERB ADP NOUN PUNCT,чоловік на літак .,NOUN ADP NOUN PUNCT
"Вони три жінки на столі, а жінки з довгим плітом дивляться в мікроскопі.","Жінки, які грають у баскетбол","['Вони три жінки на столі, а жінки з довгим плітом дивляться в мікроскопі.']","['Жінки, які грають у баскетбол']",2,contradiction,"вони три жінка на стіл , а жінка з довгий пліт дивитися в мікроскоп .",PRON NUM NOUN ADP NOUN PUNCT CCONJ NOUN ADP ADJ NOUN VERB ADP NOUN PUNCT,"жінка , який грати у баскетбол",NOUN PUNCT DET VERB ADP NOUN
Людина над їхною дошкою на воді.,Людина на серфінговому доску.,['Людина над їхною дошкою на воді.'],['Людина на серфінговому доску.'],0,entailment,людина над їхній дошка на вода .,NOUN ADP DET NOUN ADP NOUN PUNCT,людина на серфінговий досок .,NOUN ADP ADJ NOUN PUNCT
"Чоловік у білої рубаці і окулярах грає на гітарі і сидить поруч з жінкою, яка також одягнена в біло.",Чоловік стоїть у черзі в магазині харчових продуктів.,"['Чоловік у білої рубаці і окулярах грає на гітарі і сидить поруч з жінкою, яка також одягнена в біло.']",['Чоловік стоїть у черзі в магазині харчових продуктів.'],2,contradiction,"чоловік у білий рубак і окуляри грати на гітар і сидіти поруч з жінка , який також одягнений в білий .",NOUN ADP ADJ NOUN CCONJ NOUN VERB ADP NOUN CCONJ VERB ADV ADP NOUN PUNCT DET ADV ADJ ADP NOUN PUNCT,чоловік стояти у черга в магазин харчовий продукт .,NOUN VERB ADP NOUN ADP NOUN ADJ NOUN PUNCT
"Зубовий лікар, який працює в роті людини.",Зубовий лікар спить.,"['Зубовий лікар, який працює в роті людини.']",['Зубовий лікар спить.'],2,contradiction,"зубовий лікар , який працювати в рота людина .",ADJ NOUN PUNCT DET VERB ADP NOUN NOUN PUNCT,зубовий лікар спати .,ADJ NOUN VERB PUNCT
"Собака з рукавом у роті, яке носить чоловік.",Собака тримає кісток.,"['Собака з рукавом у роті, яке носить чоловік.']",['Собака тримає кісток.'],2,contradiction,"собака з рукав у рота , який носити чоловік .",NOUN ADP NOUN ADP NOUN PUNCT DET VERB NOUN PUNCT,собака тримати кістка .,NOUN VERB NOUN PUNCT
Чоловік у апельсиновій рубаці перевертає піщану дюну в пустелі.,Бітл-Юс намагається втекти від піску.,['Чоловік у апельсиновій рубаці перевертає піщану дюну в пустелі.'],['Бітл-Юс намагається втекти від піску.'],2,contradiction,чоловік у апельсиновий рубак перевертати піщаний дюна в пустель .,NOUN ADP ADJ NOUN VERB ADJ NOUN ADP NOUN PUNCT,Бітл - Юс намагатися втекти від пісок .,PROPN PUNCT PROPN VERB VERB ADP NOUN PUNCT
"Мабуть, це не так. Мужчина в зеленої рубаці і джинсах сидить на підлозі, а повернувся, щоб трохи подивитися на жінку з синьою рубачкою і джинсами, що сидить на зеленому стільці.",Чоловік у зеленої рубаці і джинсах дивиться на жінку.,"['Мабуть, це не так.', 'Мужчина в зеленої рубаці і джинсах сидить на підлозі, а повернувся, щоб трохи подивитися на жінку з синьою рубачкою і джинсами, що сидить на зеленому стільці.']",['Чоловік у зеленої рубаці і джинсах дивиться на жінку.'],0,entailment,"мабуть , це не так . мужчина в зелений рубак і джинса сидіти на підлога , а повернутися , щоб трохи подивитися на жінка з синій рубачка і джинса , що сидіти на зелений стілець .",ADV PUNCT PRON PART ADV PUNCT NOUN ADP ADJ NOUN CCONJ NOUN VERB ADP NOUN PUNCT CCONJ VERB PUNCT SCONJ ADV VERB ADP NOUN ADP ADJ NOUN CCONJ NOUN PUNCT SCONJ VERB ADP ADJ NOUN PUNCT,чоловік у зелений рубак і джинса дивитися на жінка .,NOUN ADP ADJ NOUN CCONJ NOUN VERB ADP NOUN PUNCT
"Дівчина, яка схиляється до певних корів.",Дівчина схиляється до корів у камі.,"['Дівчина, яка схиляється до певних корів.']",['Дівчина схиляється до корів у камі.'],0,entailment,"дівчина , який схилятися до певний кор .",NOUN PUNCT DET VERB ADP ADJ NOUN PUNCT,дівчина схилятися до кор у кама .,NOUN VERB ADP NOUN ADP NOUN PUNCT
"Жінка, яка навчає хлопчика плавати.","Жінка, яка навчає хлопчика плавати в басейні.","['Жінка, яка навчає хлопчика плавати.']","['Жінка, яка навчає хлопчика плавати в басейні.']",1,neutral,"жінка , який навчати хлопчик плавати .",NOUN PUNCT DET VERB NOUN VERB PUNCT,"жінка , який навчати хлопчик плавати в басейн .",NOUN PUNCT DET VERB NOUN VERB ADP NOUN PUNCT
Хлопчик у плетеній шапці кладе траву.,Хлопчик дивиться на небо,['Хлопчик у плетеній шапці кладе траву.'],['Хлопчик дивиться на небо'],1,neutral,хлопчик у плетений шапка класти трава .,NOUN ADP ADJ NOUN VERB NOUN PUNCT,хлопчик дивитися на небо,NOUN VERB ADP NOUN
"Група чоловіків, які одягають жорсткі шляхи і білетки OSHA, позирують для фотографії.","Група чоловіків, які носять федори, позирують на фотографію.","['Група чоловіків, які одягають жорсткі шляхи і білетки OSHA, позирують для фотографії.']","['Група чоловіків, які носять федори, позирують на фотографію.']",2,contradiction,"група чоловік , який одягати жорсткий шлях і білетка OSHA , позирувати для фотографія .",NOUN NOUN PUNCT DET VERB ADJ NOUN CCONJ NOUN X PUNCT VERB ADP NOUN PUNCT,"група чоловік , який носити федор , позирувати на фотографій .",NOUN NOUN PUNCT DET VERB NOUN PUNCT VERB ADP NOUN PUNCT
"Група чоловіків, які стоять поруч з рядами мертвих риб.",Останній поїзд виїжджає з станції.,"['Група чоловіків, які стоять поруч з рядами мертвих риб.']",['Останній поїзд виїжджає з станції.'],2,contradiction,"група чоловік , який стояти поруч з ряд мертвий риб .",NOUN NOUN PUNCT DET VERB ADV ADP NOUN ADJ NOUN PUNCT,останній поїзд виїжджати з станція .,ADJ NOUN VERB ADP NOUN PUNCT
"Жінка в чорній куртці ходить по вулиці з молодою дівчиною в рюкзаку, готуючись проїхати до групи людей, які стоять на вулиці.",Жінка бере дочку в школу,"['Жінка в чорній куртці ходить по вулиці з молодою дівчиною в рюкзаку, готуючись проїхати до групи людей, які стоять на вулиці.']",['Жінка бере дочку в школу'],1,neutral,"жінка в чорний куртка ходити по вулиця з молодий дівчина в рюкзак , готуватися проїхати до група людина , який стояти на вулиця .",NOUN ADP ADJ NOUN VERB ADP NOUN ADP ADJ NOUN ADP NOUN PUNCT VERB VERB ADP NOUN NOUN PUNCT DET VERB ADP NOUN PUNCT,жінка брати дочка в школа,NOUN VERB NOUN ADP NOUN
Дві діти на пляжі копають діри в піску.,Діти використовують ведро і лопату в піску.,['Дві діти на пляжі копають діри в піску.'],['Діти використовують ведро і лопату в піску.'],1,neutral,два дитина на пляж копати дір в пісок .,NUM NOUN ADP NOUN VERB NOUN ADP NOUN PUNCT,дитина використовувати ведро і лопата в пісок .,NOUN VERB NOUN CCONJ NOUN ADP NOUN PUNCT
"Чоловік у білому футболціку, кинувся, розмалював яблуко поруч з фотографією великого очей.",Чоловік малює зображення фрукта.,"['Чоловік у білому футболціку, кинувся, розмалював яблуко поруч з фотографією великого очей.']",['Чоловік малює зображення фрукта.'],0,entailment,"чоловік у білий футболціка , кинутися , розмалювати яблуко поруч з фотографія великий око .",NOUN ADP ADJ NOUN PUNCT VERB PUNCT VERB NOUN ADV ADP NOUN ADJ NOUN PUNCT,чоловік малювати зображення фрукт .,NOUN VERB NOUN NOUN PUNCT
Браунна собака носить багатофарбову іграшку на траві.,Собака спить.,['Браунна собака носить багатофарбову іграшку на траві.'],['Собака спить.'],2,contradiction,браунний собака носити багатофарбовий іграшка на траві .,ADJ NOUN VERB ADJ NOUN ADP NOUN PUNCT,собака спати .,NOUN VERB PUNCT
Люди сидять в автомобілі.,Люди в автомобілі.,['Люди сидять в автомобілі.'],['Люди в автомобілі.'],0,entailment,людина сидіти в автомобіл .,NOUN VERB ADP NOUN PUNCT,людина в автомобіл .,NOUN ADP NOUN PUNCT
"Жінка носила червону завіску, погрузку і стояла під червонофарбованим парасолем, а старий чоловік дивився на неї з цікавістю.","Жінка носить синій завіс, а молодий чоловік дивиться на неї.","['Жінка носила червону завіску, погрузку і стояла під червонофарбованим парасолем, а старий чоловік дивився на неї з цікавістю.']","['Жінка носить синій завіс, а молодий чоловік дивиться на неї.']",2,contradiction,"жінка носити червоний завіска , погрузка і стояти під червонофарбований парасоль , а старий чоловік дивитися на вона з цікавість .",NOUN VERB ADJ NOUN PUNCT NOUN CCONJ VERB ADP ADJ NOUN PUNCT CCONJ ADJ NOUN VERB ADP PRON ADP NOUN PUNCT,"жінка носити синій завіс , а молодий чоловік дивитися на вона .",NOUN VERB ADJ NOUN PUNCT CCONJ ADJ NOUN VERB ADP PRON PUNCT
"Дехто молодий чоловік випиває напої на вулиці, де збирається їжа.",Молоді люди всередині і голодні.,"['Дехто молодий чоловік випиває напої на вулиці, де збирається їжа.']",['Молоді люди всередині і голодні.'],2,contradiction,"дехто молодий чоловік випивати напій на вулиця , де збиратися їжа .",PRON ADJ NOUN VERB NOUN ADP NOUN PUNCT ADV VERB NOUN PUNCT,молодий людина всередині і голодний .,ADJ NOUN ADV CCONJ ADJ PUNCT
Молода дівчина шукає щось серед натовпу.,Молода дівчина дивиться на порожне поле,['Молода дівчина шукає щось серед натовпу.'],['Молода дівчина дивиться на порожне поле'],2,contradiction,молодий дівчина шукати щось серед натовп .,ADJ NOUN VERB PRON ADP NOUN PUNCT,молодий дівчина дивитися на порожний поле,ADJ NOUN VERB ADP ADJ NOUN
"Жінка просуває коляску за огородом, за яким витягують до неї білізуми хлопці.","Жінка натискає вагон за огородом, де хлопці в уніформах розтягнули руки.","['Жінка просуває коляску за огородом, за яким витягують до неї білізуми хлопці.']","['Жінка натискає вагон за огородом, де хлопці в уніформах розтягнули руки.']",0,entailment,"жінка просувати коляска за огород , за який витягувати до вона біліз хлопець .",NOUN VERB NOUN ADP NOUN PUNCT ADP DET VERB ADP PRON NOUN NOUN PUNCT,"жінка натискати вагон за огород , де хлопець в уніформа розтягнути рука .",NOUN VERB NOUN ADP NOUN PUNCT ADV NOUN ADP NOUN VERB NOUN PUNCT
П'ять хлопців поховалися в піску з собакою за спиною.,Деякі люди на пляжі.,"[""П'ять хлопців поховалися в піску з собакою за спиною.""]",['Деякі люди на пляжі.'],0,entailment,п'ять хлопець поховатися в пісок з собака за спина .,NOUN NOUN VERB ADP NOUN ADP NOUN ADP NOUN PUNCT,деякий людина на пляж .,DET NOUN ADP NOUN PUNCT
Чорно-білий собака біжить поруч з маленькою коричневою або білою собакою на траві.,"Пара собак, які гоняться за кроликами.",['Чорно-білий собака біжить поруч з маленькою коричневою або білою собакою на траві.'],"['Пара собак, які гоняться за кроликами.']",1,neutral,чорний - білий собака бігти поруч з маленький коричневий або білий собака на траві .,ADJ PUNCT ADJ NOUN VERB ADV ADP ADJ ADJ CCONJ ADJ NOUN ADP NOUN PUNCT,"пара собака , який гонитися за кролик .",NOUN NOUN PUNCT DET VERB ADP NOUN PUNCT
Люди ходять по сонячній площі.,Люди ходять на вулиці під сонцем.,['Люди ходять по сонячній площі.'],['Люди ходять на вулиці під сонцем.'],0,entailment,людина ходити по сонячний площа .,NOUN VERB ADP ADJ NOUN PUNCT,людина ходити на вулиця під сонце .,NOUN VERB ADP NOUN ADP NOUN PUNCT
Чоловік стоїть у воді біля водоспаду.,"Чоловік дивиться на краю водопаду, щоб побачити острі камені.",['Чоловік стоїть у воді біля водоспаду.'],"['Чоловік дивиться на краю водопаду, щоб побачити острі камені.']",1,neutral,чоловік стояти у вода біля водоспад .,NOUN VERB ADP NOUN ADP NOUN PUNCT,"чоловік дивитися на край водопад , щоб побачити острі камінь .",NOUN VERB ADP NOUN NOUN PUNCT SCONJ VERB NOUN NOUN PUNCT
На фото з лінзи рибного огляду бачимо на вулиці на вулиці на вулиці на вулиці на вулиці на вулиці на вулиці на вулиці на вулиці на вулиці багато пішоходів.,На вулиці є автобус.,['На фото з лінзи рибного огляду бачимо на вулиці на вулиці на вулиці на вулиці на вулиці на вулиці на вулиці на вулиці на вулиці на вулиці багато пішоходів.'],['На вулиці є автобус.'],0,entailment,на фото з лінз рибний огляд бачити на вулиця на вулиця на вулиця на вулиця на вулиця на вулиця на вулиця на вулиця на вулиця на вулиця багато пішохід .,ADP NOUN ADP NOUN ADJ NOUN VERB ADP NOUN ADP NOUN ADP NOUN ADP NOUN ADP NOUN ADP NOUN ADP NOUN ADP NOUN ADP NOUN ADP NOUN DET NOUN PUNCT,на вулиця бути автобус .,ADP NOUN VERB NOUN PUNCT
"Мотоцикліст, який стрибає на рампу",Людина на мотоциклі,"['Мотоцикліст, який стрибає на рампу']",['Людина на мотоциклі'],0,entailment,"мотоцикліст , який стрибати на рампа",NOUN PUNCT DET VERB ADP NOUN,людина на мотоцикл,NOUN ADP NOUN
"Люди в традиційній військовій тарифі і два людини, які їхали на слонах десь у Південно-Східній Азії.",Люди в Африці.,"['Люди в традиційній військовій тарифі і два людини, які їхали на слонах десь у Південно-Східній Азії.']",['Люди в Африці.'],2,contradiction,"людина в традиційний військовий тарифі і два людина , який їхати на слон десь у південний - східний Азія .",NOUN ADP ADJ ADJ NOUN CCONJ NUM NOUN PUNCT DET VERB ADP NOUN ADV ADP ADJ PUNCT ADJ PROPN PUNCT,людина в Африка .,NOUN ADP PROPN PUNCT
Молода дівчина і старший чоловік переглядають в магазині їжі.,У магазині їжею купують речі.,['Молода дівчина і старший чоловік переглядають в магазині їжі.'],['У магазині їжею купують речі.'],0,entailment,молодий дівчина і старший чоловік переглядати в магазин їжа .,ADJ NOUN CCONJ ADJ NOUN VERB ADP NOUN NOUN PUNCT,у магазин їжа купувати річ .,ADP NOUN NOUN VERB NOUN PUNCT
Жінка з довгими волоссями сидить на бетонній лаві.,Жінка чекає на друга,['Жінка з довгими волоссями сидить на бетонній лаві.'],['Жінка чекає на друга'],1,neutral,жінка з довгий волосся сидіти на бетонний лава .,NOUN ADP ADJ NOUN VERB ADP ADJ NOUN PUNCT,жінка чекати на друг,NOUN VERB ADP NOUN
Сидячий чоловік витягає щось з черевної скриньки.,Людина стоїть.,['Сидячий чоловік витягає щось з черевної скриньки.'],['Людина стоїть.'],2,contradiction,сидячий чоловік витягати щось з черевний скринька .,ADJ NOUN VERB PRON ADP ADJ NOUN PUNCT,людина стояти .,NOUN VERB PUNCT
Молоді хлопці біжать на траві.,Хлопці на вулиці.,['Молоді хлопці біжать на траві.'],['Хлопці на вулиці.'],0,entailment,молодий хлопець бігти на траві .,ADJ NOUN VERB ADP NOUN PUNCT,хлопець на вулиця .,NOUN ADP NOUN PUNCT
Скурова собака з іграшкою в роті.,У собаки є шерсти.,['Скурова собака з іграшкою в роті.'],['У собаки є шерсти.'],0,entailment,скуровий собака з іграшка в рота .,ADJ NOUN ADP NOUN ADP NOUN PUNCT,у собака бути шерст .,ADP NOUN VERB NOUN PUNCT
Азіатська пара сидить на скамейці.,Азіатська пара сидить на машині.,['Азіатська пара сидить на скамейці.'],['Азіатська пара сидить на машині.'],2,contradiction,азіатський пара сидіти на скамейка .,ADJ NOUN VERB ADP NOUN PUNCT,азіатський пара сидіти на машина .,ADJ NOUN VERB ADP NOUN PUNCT
"Футбольний гравець швидко відводить м'яч, коли вороги дуже уважно відзначають його.",Обидві команди - суперники з іншого міста.,"[""Футбольний гравець швидко відводить м'яч, коли вороги дуже уважно відзначають його.""]",['Обидві команди - суперники з іншого міста.'],1,neutral,"футбольний гравець швидко відводити м’яч , коли ворога дуже уважно відзначати він .",ADJ NOUN ADV VERB NOUN PUNCT ADV NOUN ADV ADV VERB PRON PUNCT,обидва команда - суперник з інший місто .,NUM NOUN PUNCT NOUN ADP DET NOUN PUNCT
"Чоловік з червоним рубом носить морозиво на голові на ладоні перед будівлею, на якій написано ""КАМАРА"" синьо.",Людина бере ложку морозива в невелику школу для дітей з СДВГ.,"['Чоловік з червоним рубом носить морозиво на голові на ладоні перед будівлею, на якій написано ""КАМАРА"" синьо.']",['Людина бере ложку морозива в невелику школу для дітей з СДВГ.'],1,neutral,"чоловік з червоний руб носити морозиво на голова на ладон перед будівля , на який написати "" Камара "" синьо .",NOUN ADP ADJ NOUN VERB NOUN ADP NOUN ADP NOUN ADP NOUN PUNCT ADP DET VERB PUNCT PROPN PUNCT ADV PUNCT,людина брати ложко морозиво в невеликий школа для дитина з СДВГ .,NOUN VERB NOUN NOUN ADP ADJ NOUN ADP NOUN ADP NOUN PUNCT
Дівчата сидять на сонці біля кафе Starbucks.,Дівчата сидять на вулиці.,['Дівчата сидять на сонці біля кафе Starbucks.'],['Дівчата сидять на вулиці.'],0,entailment,дівчина сидіти на сонце біля кафе Starbucks .,NOUN VERB ADP NOUN ADP NOUN X PUNCT,дівчина сидіти на вулиця .,NOUN VERB ADP NOUN PUNCT
Батько не дозволяє своєму дитині скочити на залізниці.,Діти приймають ванну.,['Батько не дозволяє своєму дитині скочити на залізниці.'],['Діти приймають ванну.'],2,contradiction,батько не дозволяти свій дитина скочити на залізниця .,NOUN PART VERB DET NOUN VERB ADP NOUN PUNCT,дитина приймати ванна .,NOUN VERB NOUN PUNCT
"Маленькі діти з захопленням дивляться, як чоловік грає на інструменті, схожиму на ксилофон.",Інструмент на голові людини.,"['Маленькі діти з захопленням дивляться, як чоловік грає на інструменті, схожиму на ксилофон.']",['Інструмент на голові людини.'],2,contradiction,"маленький дитина з захоплення дивитися , як чоловік грати на інструмент , схожити на ксилофон .",ADJ NOUN ADP NOUN VERB PUNCT ADV NOUN VERB ADP NOUN PUNCT VERB ADP NOUN PUNCT,інструмент на голова людина .,NOUN ADP NOUN NOUN PUNCT
Молоді афроамериканські діти в зелених костюмах плескають на один голос.,Деякі чорні діти аплодірують на виступ всередині.,['Молоді афроамериканські діти в зелених костюмах плескають на один голос.'],['Деякі чорні діти аплодірують на виступ всередині.'],1,neutral,молодий афроамериканський дитина в зелений костюм плескати на один голос .,ADJ ADJ NOUN ADP ADJ NOUN VERB ADP NUM NOUN PUNCT,деякий чорний дитина аплодірувати на виступ всередині .,DET ADJ NOUN VERB ADP NOUN ADV PUNCT
"Маленький хлопчик готовий ударити в храму іншого хлопчика, поки вони їдять на обід.","Маленький хлопчик грає, імітуючи іншого дитину в храмі.","['Маленький хлопчик готовий ударити в храму іншого хлопчика, поки вони їдять на обід.']","['Маленький хлопчик грає, імітуючи іншого дитину в храмі.']",0,entailment,"маленький хлопчик готовий ударити в храм інший хлопчик , поки вони їсти на обід .",ADJ NOUN ADJ VERB ADP NOUN DET NOUN PUNCT ADV PRON VERB ADP NOUN PUNCT,"маленький хлопчик грати , імітувати інший дитина в храм .",ADJ NOUN VERB PUNCT VERB DET NOUN ADP NOUN PUNCT
Чоловік схиляється в парку поруч з жінкою на велосипеді.,Жінка їздить на мопеді в парку.,['Чоловік схиляється в парку поруч з жінкою на велосипеді.'],['Жінка їздить на мопеді в парку.'],2,contradiction,чоловік схилятися в парк поруч з жінка на велосипедь .,NOUN VERB ADP NOUN ADV ADP NOUN ADP NOUN PUNCT,жінка їздити на мопедь в парк .,NOUN VERB ADP NOUN ADP NOUN PUNCT
"Золота собака бегло по трасі шинок, яка була висечена в снігу.",Собака біжить по під'їзді.,"['Золота собака бегло по трасі шинок, яка була висечена в снігу.']","[""Собака біжить по під'їзді.""]",1,neutral,"золотий собака бегти по трасі шинок , який бути висечений в сніг .",ADJ NOUN VERB ADP NOUN NOUN PUNCT DET AUX ADJ ADP NOUN PUNCT,собака бігти по під’їзд .,NOUN VERB ADP NOUN PUNCT
Шість людей плавають в природному водорості.,"Група людей грає в гру, плавучи.",['Шість людей плавають в природному водорості.'],"['Група людей грає в гру, плавучи.']",1,neutral,шість людина плавати в природний водорість .,NUM NOUN VERB ADP ADJ NOUN PUNCT,"група людина грати в гра , плавати .",NOUN NOUN VERB ADP NOUN PUNCT VERB PUNCT
Три жінки розмовляють у срібніх лагерах і відповідних перуках.,Жінки щільні і не мають нічого на голові.,['Три жінки розмовляють у срібніх лагерах і відповідних перуках.'],['Жінки щільні і не мають нічого на голові.'],2,contradiction,три жінка розмовляти у срібний лагера і відповідний перук .,NUM NOUN VERB ADP ADJ NOUN CCONJ ADJ NOUN PUNCT,жінка щільний і не мати ніщо на голова .,NOUN ADJ CCONJ PART VERB PRON ADP NOUN PUNCT
Молода жінка і чоловік поховують іншого молодого чоловіка в піску.,Люди ходять по вулиці міста.,['Молода жінка і чоловік поховують іншого молодого чоловіка в піску.'],['Люди ходять по вулиці міста.'],2,contradiction,молодий жінка і чоловік поховувати інший молодий чоловік в пісок .,ADJ NOUN CCONJ NOUN VERB DET ADJ NOUN ADP NOUN PUNCT,людина ходити по вулиця місто .,NOUN VERB ADP NOUN NOUN PUNCT
"Хлопчик, який грає лопатою в снігу.",Це зима.,"['Хлопчик, який грає лопатою в снігу.']",['Це зима.'],0,entailment,"хлопчик , який грати лопата в сніг .",NOUN PUNCT DET VERB NOUN ADP NOUN PUNCT,це зима .,PRON NOUN PUNCT
"Три чоловіки, які одягають білетки і працюють на полі.","Три чоловіки, які носять білізники, працюють на полі.","['Три чоловіки, які одягають білетки і працюють на полі.']","['Три чоловіки, які носять білізники, працюють на полі.']",0,entailment,"три чоловік , який одягати білетка і працювати на поле .",NUM NOUN PUNCT DET VERB NOUN CCONJ VERB ADP NOUN PUNCT,"три чоловік , який носити білізник , працювати на поле .",NUM NOUN PUNCT DET VERB NOUN PUNCT VERB ADP NOUN PUNCT
Група людей зібралася подивитися вуличного виконавця.,Група людей дивиться виконавця.,['Група людей зібралася подивитися вуличного виконавця.'],['Група людей дивиться виконавця.'],0,entailment,група людина зібратися подивитися вуличний виконавець .,NOUN NOUN VERB VERB ADJ NOUN PUNCT,група людина дивитися виконавець .,NOUN NOUN VERB NOUN PUNCT
Дитина сидить на футбольному м'ячці в парку.,"Дитина чекає, коли його друзі зустрінуть його в парку.","[""Дитина сидить на футбольному м'ячці в парку.""]","['Дитина чекає, коли його друзі зустрінуть його в парку.']",1,neutral,дитина сидіти на футбольний м’ячка в парк .,NOUN VERB ADP ADJ NOUN ADP NOUN PUNCT,"дитина чекати , коли його друг зустріти він в парк .",NOUN VERB PUNCT ADV DET NOUN VERB PRON ADP NOUN PUNCT
Три чоловіки розмовляють на мікрофонах,Три чоловіки біжать.,['Три чоловіки розмовляють на мікрофонах'],['Три чоловіки біжать.'],2,contradiction,три чоловік розмовляти на мікрофон,NUM NOUN VERB ADP NOUN,три чоловік бігти .,NUM NOUN VERB PUNCT
"Два футболісти зв'язуваються, коли вони обоє гоняться за окремими м'ячами.",Два футболісти гоняться за одним м'ячом,"[""Два футболісти зв'язуваються, коли вони обоє гоняться за окремими м'ячами.""]","[""Два футболісти гоняться за одним м'ячом""]",2,contradiction,"два футболість зв’язуватися , коли вони обоє гонитися за окремий м’яча .",NUM NOUN VERB PUNCT ADV PRON NUM VERB ADP ADJ NOUN PUNCT,два футболість гонитися за один м’ячо,NUM NOUN VERB ADP NUM NOUN
"Дві собаки, одна темна і одна світлокольована, бегають на вулиці.","Дві собаки, які бігуть на вулиці.","['Дві собаки, одна темна і одна світлокольована, бегають на вулиці.']","['Дві собаки, які бігуть на вулиці.']",0,entailment,"два собака , один темний і один світлокольований , бегати на вулиця .",NUM NOUN PUNCT NUM ADJ CCONJ DET ADJ PUNCT VERB ADP NOUN PUNCT,"два собака , який бігти на вулиця .",NUM NOUN PUNCT DET VERB ADP NOUN PUNCT
Синій автотранспорт і два джентльмена стояли перед ним.,Люди стоять,['Синій автотранспорт і два джентльмена стояли перед ним.'],['Люди стоять'],0,entailment,синій автотранспорт і два джентльмена стояти перед він .,ADJ NOUN CCONJ NUM NOUN VERB ADP PRON PUNCT,людина стояти,NOUN VERB
"Дівчина в басейні дивиться, а хлопчик в маске стрибає з дайвінгової дошки.",Басейн порожній.,"['Дівчина в басейні дивиться, а хлопчик в маске стрибає з дайвінгової дошки.']",['Басейн порожній.'],2,contradiction,"дівчина в басейн дивитися , а хлопчик в маске стрибати з дайвінговий дошка .",NOUN ADP NOUN VERB PUNCT CCONJ NOUN ADP NOUN VERB ADP ADJ NOUN PUNCT,басейн порожній .,NOUN ADJ PUNCT
"Молода дівчина усміхається перед камерою, тримаючи великий трофей.","Молода дівчина, яка тримає трофей, позирує для фотографії.","['Молода дівчина усміхається перед камерою, тримаючи великий трофей.']","['Молода дівчина, яка тримає трофей, позирує для фотографії.']",0,entailment,"молодий дівчина усміхатися перед камера , тримати великий трофий .",ADJ NOUN VERB ADP NOUN PUNCT VERB ADJ NOUN PUNCT,"молодий дівчина , який тримати трофий , позирувати для фотографія .",ADJ NOUN PUNCT DET VERB NOUN PUNCT VERB ADP NOUN PUNCT
"Молодий підлітковий хлопець, який займався скейтбордним трюком на будівельній площі, був уловиний у повітрі, коли перевертав долю.",Молодий чоловік робить трюк на скейтборі.,"['Молодий підлітковий хлопець, який займався скейтбордним трюком на будівельній площі, був уловиний у повітрі, коли перевертав долю.']",['Молодий чоловік робить трюк на скейтборі.'],0,entailment,"молодий підлітковий хлопець , який займатися скейтбордний трюк на будівельний площа , бути уловиний у повітря , коли перевертати доля .",ADJ ADJ NOUN PUNCT DET VERB ADJ NOUN ADP ADJ NOUN PUNCT AUX ADJ ADP NOUN PUNCT ADV VERB NOUN PUNCT,молодий чоловік робити трюк на скейтбор .,ADJ NOUN VERB NOUN ADP NOUN PUNCT
"За жінкою в кавбоїцькій шапці ходить чоловік у синій бейсбольній шапці, хлопчик у синій футболці і жінка в зеленому верхньому платі.","Чоловік, жінка і хлопчик стоять за жінкою в кавбоїцькій шапці.","['За жінкою в кавбоїцькій шапці ходить чоловік у синій бейсбольній шапці, хлопчик у синій футболці і жінка в зеленому верхньому платі.']","['Чоловік, жінка і хлопчик стоять за жінкою в кавбоїцькій шапці.']",0,entailment,"за жінка в кавбоїцький шапка ходити чоловік у синій бейсбольний шапка , хлопчик у синій футболка і жінка в зелений верхній плата .",ADP NOUN ADP ADJ NOUN VERB NOUN ADP ADJ ADJ NOUN PUNCT NOUN ADP ADJ NOUN CCONJ NOUN ADP ADJ ADJ NOUN PUNCT,"чоловік , жінка і хлопчик стояти за жінка в кавбоїцький шапка .",NOUN PUNCT NOUN CCONJ NOUN VERB ADP NOUN ADP ADJ NOUN PUNCT
