premise_clean,hypothesis_clean,labels,label_name
"Дівчина в синій бітер лізає виски, яку використовували для приготування броні.",Дівчина лізає увіс.,0,entailment
"Людина в чорній куртці тримає хлопчика за плечо, щоб зупинити його від відступлення на дорогу, поки проїжджає срібний міні.",Батько тримається за плечо свого сина.,1,neutral
Брунетка в чорно-білої смужної рубачі з темнокосовим чоловіком у білої футболці.,Ніхто не має сорочки.,2,contradiction
Маленький хлопчик у окулярах націлений на пластикову зброю.,Хлопчик грає з пластиковим рыбалкою.,2,contradiction
Кілька дівчат у танцювальних одягах позирують.,Кілька танцюрів позирують.,0,entailment
Дві працівники встановлюють рекламу на рекламному щиті для магазину спортивних виробів.,Робітники катаються на льодовиках.,2,contradiction
Безгоні люди ходять по скалисту дорозі.,Чоловіки танцюють в нічному клубі.,2,contradiction
Чоловік розплюває піску зображення людини.,Подібність складається з невеликих гранулів.,0,entailment
"Зверху бачимо кілька людей, які розмовляють у темряві.",Люди бачать зверху.,0,entailment
Чоловік у ресторані готується сісти.,Чоловік у ресторані.,0,entailment
"На фото кілька чоловіків перевертаються в повітрі, навголом вниз, в результаті використання приладу, що знаходиться на їх ногах.",Два чоловіки використовують пристрій.,0,entailment
Два чоловіки розмовляють у будинку.,Дві люди розмовляють на вулиці.,2,contradiction
"Смелий мотоцикліст, який зближається через гоночний тракт.",Мотоцикліст йде на гонку.,1,neutral
Рокетти виступають за межами Радіо-Сіті.,"Гарлемські Глобетротерс виступають за будівлею ""Емпері Стейт"".",2,contradiction
Чоловік допомагає другому чоловікові після падіння на вулиці.,Він ніколи не падав.,2,contradiction
"Дві маленькі діти в колясках мають макіяж обличчя, як група ""Кісс"".",Є діти в колясках.,0,entailment
Блондинка в коричневому шкірному пальто слухає музику.,Блондин слухає музику.,0,entailment
Три чоловіки у білому малюють плавину пірму синьою.,Три чоловіки малюють пір.,0,entailment
Жінка в білому капелющі співає в мікрофон.,Жінка співає перед аудиторією.,1,neutral
Фармацевт у білому лабораторному пальто заповнює рецепти.,Пожарник заповнює рецепти,2,contradiction
"Іспанка, яка носить червону рубашку, працює на пошиві одягу.","Жінка, яка швейє футболку.",0,entailment
Чоловік у зеленому захисному передніку використовує травоядника.,Чоловік носить передні шкарпетки.,0,entailment
Один хлопець працює в лабораторії.,Чоловік на кухні.,2,contradiction
Жінка і дитина грають на сніжному дворі.,Люди грають на сніжному дворі.,1,neutral
Люди стоять перед ірландським пабом.,Люди сидять на парковому латуні.,2,contradiction
Бульдозер на пляжі без води.,Бульдозер у воді.,2,contradiction
"Молодежна футбольна команда, одягнені в жовті і морські футболісти, радісно приймає розплювку води в сонячний день.",Футбольна команда плаває в космосі.,2,contradiction
Гітарист грає на сцени з зеленого світла за собою.,Чоловік грає на барабанах.,2,contradiction
"Чоловік у зносіній і розбитої одязі носить сумку, а він проходить по дереві і сміттєвому міску.","Бездомний чоловік носить в собі сумку, повну яєць.",1,neutral
Два чоловіки посміхаються один одному.,Жінка сидить одна плачучи.,2,contradiction
Професійний футболіст піддається підборожню молодої дівчини.,"Мабуть, футболіст, який займається футболом, полюбив дівчинку.",1,neutral
Один чоловік горіть усаки іншого в парикмахерській.,Чоловіка горіть у парикмахерській.,0,entailment
Жінка в полосовій сукні на велосипеді.,Жінка в стріповому одязі сама може їздити на велосипеді,2,contradiction
Чоловік у зеленої сорочки піднімається на перешкодний курс.,Чоловік читає книгу.,2,contradiction
"Жених і наречена бачать за будівлею після того, як вони одружилися.",Подруга стоїть на вулиці в весільному одязі.,0,entailment
"Жінка розмовляє на мобільний телефон, і чоловік стоїть біля ресторану піцзи Sbarro, поруч з метро.",Жінка і чоловік мають стосунки.,1,neutral
Дві чоловіки виконують звукопроверку.,Два чоловіки готуються до шоу.,1,neutral
Дівчина сидить на землі і говорить по телефону.,Хлопчик сидить на землі і говорить по телефону.,2,contradiction
Нова подружня пара сміється під час прийому.,"Жених і дівчата сміються, бо хтось сказав щось смішне.",1,neutral
Чоловік у жовтій сорочки виконує обслуговування на велосипеді Schwinn біля пікнікового столу.,Чоловік змінює шину на своєму велосипеді.,1,neutral
"Група друзів, які досліджують місто.",На цій фотографії є деякі люди.,0,entailment
Жінка в фіолетовому платіжу коригує волосся.,Жінка готується вийти.,1,neutral
"Дві люди, один у синьому костюмі, а інший у апельсиновому, сидять у залі.",Люди погружаються в озеро.,2,contradiction
Браунна собака ходить по підбуршеві.,Животно вічно.,0,entailment
Маленький хлопчик прокидається в маленький басейн на кінці жовтого слізка.,хлопчик вперше плаває в басейні,1,neutral
Постарший чоловік читає книгу.,Чоловік носить окуляри.,1,neutral
"Матадор, який дратує травмлену бика з червоним капетом на турнірі.",Бук спить на траві.,2,contradiction
"Люди одягаються у костюми, коли вони на березі.",Люди на вулиці.,0,entailment
"Дівчина піднімається, щоб подивитися в басейн.",Детка наближається.,0,entailment
Маленькі рибалські моделі плавають в воді.,Чоловік малює свою пластичну модель.,2,contradiction
Молода дівчина танцює перед міською будівлею в дуже яскравій одязі і гарячих рожевих носках,Дівчина чекає на свій автобус біля будівлі.,2,contradiction
"Чоловік у білої рубаші, синій шарф і підвісках стоїть з руками на бедрах біля ресторану.",Чоловік одягнений.,0,entailment
Жінка в зіпсутому купальному костюмі піде.,Жінки просто перестали плавати.,1,neutral
дві собаки прив'язані до стволу.,Дві собаки закатані.,0,entailment
Бейсбольний пітчер кидає.,Бійник очищує свою біт.,2,contradiction
Дві собаки бігують і грають грубо в траві.,Дві тварини бігають і граються один з одним на траві.,0,entailment
"Біла собака і чорна собака біжать один за одним на траві, поки глядачі дивляться.","Біла і чорна собака біжать разом, бо вони гоняться в парку, і глядачі дивляться.",1,neutral
"Людина, яка викидає зелену ложку вниз по полосі.",людина грає в гольф,2,contradiction
Дівчина в чорній сорочки з квітами тримає чорно-білого шчаня.,Дівчина тримає величезного лівового малюка.,2,contradiction
"Блондинка з червоним балоном присягає, щоб подивитися на землю на березі води.",жінка біла.,1,neutral
Дитина позирує з смішним проходом за камерою біля води.,Хлопчик займає дивну позицію біля води.,0,entailment
Два чоловіки борються на вулиці перед натовпом.,Жінки воювали вдома.,2,contradiction
"Жінка в зразковому пільті і чорній шкірному пальтові дивиться на овочі, які продаються на вулиці.",У жінки білий шкіровий куртка.,2,contradiction
Група людей стоїть навколо червоної пожежної машини.,"Група людей стоїть біля пожежної машини, чекаючи, поки пожежники потушить пожежу.",1,neutral
"Група людей, які тримають музичні інструменти.",Люди тримають макрам.,2,contradiction
"Чоловік з шляпом, окулярами, ювелірністю і курткою стоїть проти апельсинової стіни.",Чоловік стоїть проти стін.,0,entailment
"Маленький хлопчик з синім пальтою робить смішний обличчя, коли він ходить до трави.",Він був щасливий.,1,neutral
"Жінка, що стоїть в слабо освітленому приміщенні, тримаючи папір.","Жінка, яка бере участь у відкритому релевому гонці",2,contradiction
"Хтось, їдучи на снігові мотоциклах, піднімає колесо.","Хтось, що їздить на снігові мотоциклах, робить прості трюки з закритими очима.",1,neutral
Чоловік щось відстежує.,Камера випускає смертельний світло.,2,contradiction
Далматийська порода собак гребень через глибоку воду.,Собака мока.,0,entailment
"Бабуся, яка сидить у своїй кімнаті.",Жінка сидить на ковчезі.,1,neutral
"Чоловік, який одягнений у зелену футболку і апельсинову шапку, працює над механічним обладнанням в оточених районах, а група людей ходить за ним на газоні.","Група людей ходить на газоні поруч з чоловіком, який працює на механічному обладнання",0,entailment
Груп піхотніків збирає лагеру.,Ходіки готові повернутися додому.,1,neutral
Дві люди дивиться по своїх пологах для боулинг-боулинг.,Дві люди готуються до останнього повору.,1,neutral
Студенти беруть участь у день їжі у школі.,Вчителі не пускають своїх учнів на заняття.,2,contradiction
"Чоловік і собака зосереджуються на фотоаппараті, що знімають себе на вулиці.","Жінка і собака зосереджуються на фотоаппараті, що фотографують себе на вулиці.",2,contradiction
"Група людей стоїть на карнавалі, біля прогулянки, яка називається Зелена джунгли.","Люди платили, щоб потрапити.",1,neutral
"Чоловік у капелюсі, який рибаль на пірмі.",Чоловік рибаль.,0,entailment
"Бейсболний гравець Ангелів витягає перчаток, щоб зламати м'яч.",Бісболний гравець Ангелів на полі.,0,entailment
"Чоловік, який курить сигаруту, прогулює свою собаку поруч з жінкою, яка носить сину смугуну куртку.",собака в магазині для тварин чекає на покупку,2,contradiction
Скейтбордер випускає трик з високого місця.,Скейтбордник знаходиться на вулиці в парку.,1,neutral
"Леді в чорному, Вікторія Л. Лек, сидить на столі з очками.",Леді сидить.,0,entailment
Жінка в темно-синій футболці ткає стрічковий кусочок матеріалу.,Жінка ткає матеріал.,0,entailment
Людина приймає душ у темній кімнаті.,У кімнаті темно.,0,entailment
Вода дуже ясна.,Вода тумана і дно не видно.,2,contradiction
Маленький хлопчик у синій сорочки стрибає в воду.,Хлопчик їздить в машині.,2,contradiction
Великий коричневий собака застрягнула обличчя в розплювку.,Собака мокалася від розплюшки.,0,entailment
"Чорний вокзал з включеними світлами, частково занурені в воду з лісоподібним районом за ним.","Темнокольована машина швидко потанує в озері біля лісу, освітлену лише його фарами.",0,entailment
"Хтось, хто працює над проектом, використовуючи машина для розрізки головоломки.",Хтось використовує піллю.,0,entailment
Чоловік у червоній куртці сидить на дерев'яній лаві і готує щось в маленькій горні.,Чоловік параплав у спортзалі.,2,contradiction
Десять чоловіків перевіряють і збирають величезні риболовні мережі на піскувому пляжі.,Десять чоловіків перевіряють повні риболовні мережі.,1,neutral
"Чоловік у синій сорочки і червоній шапці їхав на задній частині тележки, заповнених сена, і тягнутий білим конем.",Чоловік перевозить сена.,0,entailment
"Дитина, яка грає в бруді з ведрою і лопатою.",Дитина грає в піскуниці.,2,contradiction
Дві хлопці розмовляють перед киливником.,Дві хлопці сплетнюють про своїх дружин на кухні.,1,neutral
"Дитина, що відпочиває на ліжку в меблівому магазині, чекаючи, коли його мама закінчить покупки.",Дитина на ліжку.,0,entailment
Антілопа проходить через високу коричневу траву.,Животно біжить.,0,entailment
"Блондинка, яка носила танковую верхню ручку і розрізняні ручки.",Блондинка носить танковую верхню киску.,0,entailment
Чорно-коричнева собака грає з стоножкою іграшкою.,Чорно-коричнева собака грає з живим стоногою.,2,contradiction
Молодий чоловік займається трюками на своєму велосипеді перед складом.,Там хтось звонку.,0,entailment
Людина виходить на тротуар з входу.,Людина входить в будинок,2,contradiction
Багато різних груп чоловіків стоять і обмінюються річами.,"Один чоловік прогуляється по порожньому місті, шукаючи пляшку води, щоб купити.",2,contradiction
"Чорний чоловік у приємному номері, який відповідає решту хорову, з якою він співає, біля фортепіано.",Він купив цей гарний костюм.,1,neutral
"Маленька дівчинка, що не має передніх зубів, носила рожеву шалу, сину шалу, темні волосся на двох конячих хвостах, усміхається, робить ремесленні вироби з старшою жінкою, яка носить білу бейсбольну шапку, рожеву сорочку і білу куртку, в школьній залі.","Маленька дівчинка, яка не робить ремесленні вироби",2,contradiction
Чоловік їздить на мотоциклі в дорозі.,Чоловік прогуляється в парку.,2,contradiction
"Голфер готується на голф-поле, оточеного деревами.",Голфер робить стрільку в піску.,2,contradiction
Оркестр виступає для натовпу людей.,"У вуличному музиканті хочеться, щоб хтось купив йому сировий бургер.",2,contradiction
На камені з хмарним фондом зображено безголу людину з рюкзаком.,"Жінка шокує всіх, позируючи лише з рюкзаком.",1,neutral
"Натовп різних людей, які проходять через ринок.",Натовп насолоджувався музикою для покупки.,1,neutral
Браунна і чорна собака лежить у снігу з оранжевою жилетом.,"Спасительна собака, яка лежить у снігу на гори.",1,neutral
Людина робить трюк на велосипеді в загармоні.,Людина сидить у своєму улюбленому ресторані,2,contradiction
Індонезійська жінка швей на порозі.,Жінка зап'ястить одяг.,0,entailment
Жінка і маленький хлопчик дивляться на книгу.,"Матір і дитина дивляться на книгу, а люди дивляться.",1,neutral
"Дівчина в білому пальто стоїть посеред фонтана, а хлопчик на задньому платі сміється.",Дві діти грають в шаровому ярмаці.,2,contradiction
Конкурентний велосипедист їздить на велосипеді через дерев'яний міст над річкою.,Мотоцикліст гониться.,1,neutral
"Два чоловіки носять білі футболки, а один чоловік - синій з рожевим логотипом на передній стороні.",Три чоловіки чекають когось.,1,neutral
"Азіатська дівчина робить дивно обличчя, одягнувши футболку, на якій написано ""Радіо""",дівчина здивована почути її ім'я і носить футболку,1,neutral
"Член армії, який тримає зброю і сидить на вершині автомобіля.","Войськовий чоловік спав під деревом, тримав зброю.",2,contradiction
Чоловік піднімається на скелеву стіну.,Жінка піднімається на скелеву стіну.,2,contradiction
"Дві сирі особи стоять відразу за купоном захищеного столу на відкритому повітрі, при якому сидять люди.",Дві особи - маленькі діти.,2,contradiction
"Дві молоді жінки, які носять верхній та піску з голим жирком, перебувають на танці.",Жінки танцюють в пільті.,0,entailment
Строитель на механічному ліфті.,Строитель на ліфті.,0,entailment
"Людина з багатоцветним шляпкою стоїть за мозаїком, на якому написані іспанські слова, і перед травою хілою.",людина стоїть за мозаїком,0,entailment
Велосипедний гонщик у чорному і оранжевому кольору на гонковому залізі тісно слідує за ним конкурент.,За гонщиком у чорному тягочає конкурент.,0,entailment
Собака пробігає через річку і проливає воду.,Собака їсть жабу в ручці.,2,contradiction
"Чоловік у зеленої сорочки сміється поруч з жінкою в жовтому свитере, що тримає рожевий шар і носить рожеву тиару.",чоловік тримає в руках доньку рожевий шар,1,neutral
"Молодий чоловік з синьою шапкою, що годує кілька птахів.",Поблизу людини є птахи.,0,entailment
"Чоловік готує з горшкою на печі в кухні, спостерігають два інші чоловіки.","Один чоловік нагріває їжу, а двоє не готують.",0,entailment
"Блондинка, яка перевіряє стрільбу.",Жінка розраховує купити вінфіну.,1,neutral
Дві азіатські дівчата сидять на квітному полі.,Дві японські школяри сидять на полі.,1,neutral
"Група грає на мешок, а чоловік бігає, одягнувши все чорно.",Хоггер проходить перед живою групою.,0,entailment
"Жінка, яка тримає дівчину, яка носить яблуко-тематичний пальто.",Блондинка тримає дівчину в пальто.,1,neutral
Людина в довшому чорному пальто ходить поруч з кирпічним будівлею.,Людина в піжамі лежить на дивані в кафе.,2,contradiction
"Молодий підлітковий хлопець, який займався скейтбордним трюком на будівельній площі, був уловиний у повітрі, коли перевертав долю.",Підлітковий підлітковий підлітковий підлітковий підлітковий підлітковий підлітковий підлітковий підлітковий підлітковий підлітковий підлітковий підлітковий підлітковий підлітковий підлітковий підлітковий підлітковий підлітковий підлітковий підлітковий підлітковий підлітковий підлітковий підлітковий підлітковий підлітковий підлітковий підлітковий підлітковий підлітковий підлітковий підлітковий підлітковий підлітковий підлітковий підлітковий підлітковий підлітковий підлітковий підлітковий підлітковий підлітковий підлітковий підлітковий підлітковий підлітковий підлітковий підлітковий підлітковий підлітковий підлітковий підлітковий підлітковий підлітковий підлітковий підлітковий підлітковий підлітковий підлітковий підлітковий підлітковий підлітковий підлітковий підлітковий підлітковий,1,neutral
У мішки тримає сміхну маленьку дитину.,"Маленький хлопчик використовує ручний міксер, щоб приготувати їжу.",0,entailment
"Група людей, які стоять перед складом стільців.",Деякі люди стоять біля стільців.,0,entailment
Дві команди грають в футбол на відносно порожньому стадіоні.,Група людей грає в спорт на стадіоні,0,entailment
Ірландський Сеттер витягує фонарик з водостоку.,Собака приносить щось для свого власника.,1,neutral
Хлопчаків бейсбольна команда носить форму.,Бейсбольна команда знімає командні фотографії.,1,neutral
Чоловік у білої рубачі тягне наток вниз по річці.,чоловік літає літаком,2,contradiction
"Чоловік у футболці Кархарта біжить, щоб допомогти каубою, який впав з корови під час родео.",Два родичі ковбоїв на родео.,1,neutral
Чоловік у костюмі і червоній галстуці жестирує руками.,Чоловік у костюмі жестилює на зустрічі.,1,neutral
"Сноубордер, який їздить по рельсі.",Снеубордіст на рельсі на гори.,1,neutral
"Два чоловіка, які виправляють і продають їжу перед магазинами.",Два чоловіки готують,0,entailment
"Жінка на ковпачках, яка дивилася, як два вуличні артисти стрибають.",Жінка на інвалідному колисі книжки в бібліотеці.,2,contradiction
"Молодий чоловік у чорному бігу на тротуар з глядачами, які сидять за ним в траві.","Чоловік, який сидить на стільці на веранді.",2,contradiction
блондинка в танковій кабінеті їздить на автобусі.,Хлопчик у машині,2,contradiction
Два хлопчика в швейто-шмітах на дитячому полі,Хлопці одягаються в танків і перебувають удома.,2,contradiction
"Маленьке дитя, яке грає з волейболом біля води.",Хлопчик палює біля води.,0,entailment
Квоти ходять перед апельсиновим автобусом з багатьма людьми на борту.,Квоти йдуть по дорозі.,0,entailment
Жінку корують волосся іншою людиною з ковбою.,"людина, яка робить волосся.",0,entailment
"Жінка з довгими червонолосіми стоїть у своїй білої кухні, тримаючи губку і посміхаючись перед фотографом.",Червоноглавий позирує посред чищення кухні.,1,neutral
"Собака, яка дивиться на травні поля.",На вулиці собака.,0,entailment
Багато людей перетинають перетину.,Багато людей сидять перед дорожнім транспортом.,2,contradiction
"Дві маленькі чорні собаки, що стоять один перед одним з відкритим ротом.",Дві собаки воюють один з одним.,1,neutral
Чоловік у чорному свитере сидить за столом і пише на клавіатурі комп'ютера.,Чоловіцька грудина покрита.,0,entailment
Лікарі виконують операцію.,лікар робить операцію реконструкції обличчя,1,neutral
Жінка стоїть за приладом на відкритій кухні ресторану.,Ненсі була за кухні в ресторані.,0,entailment
"Блондинка в кухні з ножем і греймом-крекерів, коли робить пирог з яблуками і вішнями.",Жінка робить пирог з яблуками і орехами.,2,contradiction
Чоловік і жінка в середньовічному одязі бігуть по вулиці.,"Дві люди, одягнені в одяг, пов'язаний з бігом на Близькому Сході.",0,entailment
"Маленька дівчинка тримає кольоровий знак Рона Пола, на фотографії біля неї стоять і дорослі.","Маленька дівчинка тримає в обох руках переповнуть іграшку, а її мати - знак Рона Пола.",2,contradiction
"Група людей зібралася в барі, а один чоловік у чорній футболіці тримає руку і сигналює до камери.","Група людей, які пиють і фотографуються.",0,entailment
"Чоловік, який сидить за столом, носить червоний свитер, а на столі - два склянки води; один склянка наполовину порожня.","Чоловік, сидячий за столом з другом",1,neutral
Жінка піднімається по сходах на стадіон.,"Жінка, яку я не знаю.",2,contradiction
"Чорна собака біжить на травному дворі, а жінка в зелених годинниках з танцювального будинку.",Чорний собака дивиться телевізор.,2,contradiction
Чоловік і жінка виконують складну танцюючу рутину.,дитина танцює,2,contradiction
Дві чоловіки стоять біля кирпічної будівлі.,"Дві хлопці стоять на вулиці, коли приходять ще двоє друзів.",1,neutral
Група дівчат привітали.,Група мачорів привільняють на матчі.,1,neutral
Чотири дівчата в кухні біля тарілки броні.,Тарелка броні обкружена чотирма дівчатами,0,entailment
"Чоловік тримає гітару на натовпній вулиці, коли глядачі дивляться.","Чоловік, який тримає статую, ходить по коридорі.",2,contradiction
Матір і її молода пісня насолоджуваються прекрасним днем на вулиці.,"Дощ, що довалив, тримав сьогодні вдома матері і сина.",2,contradiction
"Чоловік ступає на свою маленьку дитину, яка дивиться в космос у їх дворі.",Чоловік дивиться на собаку.,2,contradiction
"Темнокожена жінка, яка біжить з коп'єм у руці на спаленому апельсиновому поверхні, готуючись кинути його.",Жінка готується кинути коп'я.,0,entailment
"Жінка з волоссями на волоссях і в окулярах сидить і наклоняється на задній стороні дивана, дивлячись на свій телефон.",Жінка сидить на дивані і дивиться на свій телефон.,0,entailment
"Рэгбіст у чорному забирає м'яч, а захисники в білому оточують його.",Два команди грають за чемпіонат.,1,neutral
"Група молодих людей, які веселяться і танцюють.",Люди танцюють на вечірці.,1,neutral
Чоловік у сукенках і шляпці приховує до великого катушки.,Чоловік працює на верезі.,0,entailment
Собака номер чотири напередодні інших собак.,Тут багато котів.,2,contradiction
"Молода дівчина, в звездній і смужному купальному костюмі, робить спіну на пляжі.","Дівчина, яка перевертається на пляжі.",0,entailment
Чоловік робить кукли з декількох різних кусочок.,Чоловік вісить фотографію на стіні.,2,contradiction
"Чорна собака і коричнева і біла собака, які бігують і грають.",Дві собаки грали в погонку.,1,neutral
"Хлопчик у фіолетовій рубашке і зеленому пальтості стоїть серед натовпу, піднімаючи руки в повітря.",Хлопчик привідуває у своїй улюбленній бейсбольній команді під час гри.,1,neutral
Дитина сидить на тротуар з вхідними коньками і захисним обладнанням.,Дитина на вулиці.,0,entailment
Одинокий чоловік у чорній футболці стояв над натовпом в натовпному барі.,Чоловік виселяє з шчанюком.,0,entailment
Дівчина кохається на скейтборд поруч з яскраво-фарбовою стеною.,Дівчина позирує біля стіни.,1,neutral
Молодий спортсмен виконує високий скок біля стіни.,Молодий чоловік виконує високий стрибок.,0,entailment
Дві люди з велосипедним шлемом їхали на велосипедах в парку.,"Існує маршрут Тур де Франс, який проходить через гори, і 20 велосипедистів літають біля пункту прогляду.",2,contradiction
"Люди всіх віків без обережності прогуляються по коридорах і коридорах киосков, проглядаючи різноманітні випадкові товари від продавців на великому блоховому ринку.",Люди всіх віків дивляться на речі на блоховому ринку.,0,entailment
Дівчина в жовтому капелющі піднімається на стрілку.,Жінка в жовтому жорсткому шляпці піднімається на скелю.,0,entailment
Чоловік у соломовій капелюші дивиться на фотографії на столі.,Чоловік у соломовій шапці дивиться на фотографії.,0,entailment
"Модель, що показує малюнок молотка в валізі.","Модель, що розкриває малюнок в валізі.",0,entailment
"Мабуть, це не так.",чоловік і дитина всередині,2,contradiction
"скейтбордер, який робить трюк на рампі",Скейтбордер виконує олі-рампу.,1,neutral
Зубний технік завершує процедуру на пацієнті.,Пацієнт піддається седації.,1,neutral
Три жінки ходять по вулиці.,на вулиці три жінки ходять по ній.,1,neutral
"Жінка, яка схиляється підняти тенісний м'яч перед стіною з графіті.","Жінка схиляється до стінки, щоб взяти тенісний м'яч.",0,entailment
Чоловік стоїть за гігантською зеленим машиною.,Чоловік спить.,2,contradiction
Чоловік викладає презентацію на Smart Board.,Чоловік записує під час відвідування лікаря.,2,contradiction
"Відкрита, низька густота вулиця з кількома мешканцями, які спостерігають за боком будівлі.",Люди знаходяться в пустелі Сахара.,2,contradiction
"Зневправлений образ чоловіка, який п'є зелену рідини в чаші.",Чоловік п'є сок з лимового.,1,neutral
"Хлопчик у зеленої сорочки схилений, дивлячись через телескоп, який лежить на стоянці в траві.",Хлопчик дивиться на віддалені об'єкти.,0,entailment
Дитина на пляжі поховалася в піску з лише головою.,Дитина на вулиці.,0,entailment
"Два чоловіки, які насолоджувалися ігрою в білярд.",Чоловік грає в пілці.,2,contradiction
"Чоловік, який використовує PowerPoint під час лекції.",чоловік слухає лекцію Powerpoint,2,contradiction
Чоловік у його барі вказує пальцем вгору.,Чоловік вказує на таван.,0,entailment
Дитина їсть з ложки.,Зрослий їсть з вилки.,2,contradiction
"Маленький малюк, який насолоджується снігом і слізгає в ванні.",Детка слізгає в ванні.,0,entailment
"Жінка з темними волоссями і в синій бікіні стрибає, щоб побити волейбол.",Людина з волоссями.,0,entailment
"Футбольний гравець у синій і золотій одязі, який тримає футбол на футбольній грі.",футболіст показує себе,2,contradiction
Темна собака в воді.,Собака мока.,0,entailment
Молоді дівчата слухають з книгами перед собою.,Дівчата тримають кніги.,1,neutral
"Жінка обтягає чоловіка за руки, коли він схиляється, щоб поцілувати її.",Ніхто не схиляється.,2,contradiction
"Щасливий, захоплений хлопчик на гірських гірських горах.",Хлопчик на гірськолижній гонці.,0,entailment
"Молодий чоловік у чорному одязі стоїть і виливає напої сирокосій жінці, яка сидить за столом серед людей, які зібралися на сході.",собака стрибає високо,2,contradiction
Молодий хлопчик приховає дівчину з чорним парасолем.,Молодий чоловік приховає дівчину з чорним парасолем.,0,entailment
"натовп людей, які ходять по вулиці",І старі пара сидить на скалах в парку.,2,contradiction
"Чоловік на велосипеді в половині шляху через спину перевертається, поки натовп дивиться з захопленням.",Чоловік робить перевернення за спаборніцтвом.,1,neutral
"Руки з намальованими нігтями, що розкручують лак на нігті.",Вони п'ють пляшку очищення Windex.,2,contradiction
Група людей слухає реч.,Люди на вечері дивляться п'єсу.,2,contradiction
"Два білі чоловіки борються на синій ковпаці, а інші дивляться.",Два чоловіки сплять на дивані.,2,contradiction
"вуличний продавець, який подавав їжу своїм клієнтам.",У вуличному продавці продаються курячі тако.,1,neutral
"Дві жінки розмовляють і сміються, коли люди проходять мимо.","Пара жінок сміялася, коли проходять інші ході.",0,entailment
"Середній хор змішаного статі співає, а директор рухається, щоб зберегти біт.",Хор готується до концерту.,1,neutral
"Маленьке дитину вісім років сидить на вершині скелі, з видом на живописний ліс під ним.",Вони на космічному кораблі.,2,contradiction
Три жінки сидять поруч з сходами.,Багато жінок біля сходів.,0,entailment
