premise,hypothesis,labels
"Чорний чоловік у приємному номері, який відповідає решту хорову, з якою він співає, біля фортепіано.",Він купив цей гарний костюм.,1
"Маленька дівчинка, що не має передніх зубів, носила рожеву шалу, сину шалу, темні волосся на двох конячих хвостах, усміхається, робить ремесленні вироби з старшою жінкою, яка носить білу бейсбольну шапку, рожеву сорочку і білу куртку, в школьній залі.","Маленька дівчинка, яка не робить ремесленні вироби",2
Чоловік їздить на мотоциклі в дорозі.,Чоловік прогуляється в парку.,2
"Голфер готується на голф-поле, оточеного деревами.",Голфер робить стрільку в піску.,2
Оркестр виступає для натовпу людей.,"У вуличному музиканті хочеться, щоб хтось купив йому сировий бургер.",2
На камені з хмарним фондом зображено безголу людину з рюкзаком.,"Жінка шокує всіх, позируючи лише з рюкзаком.",1
"Натовп різних людей, які проходять через ринок.",Натовп насолоджувався музикою для покупки.,1
Браунна і чорна собака лежить у снігу з оранжевою жилетом.,"Спасительна собака, яка лежить у снігу на гори.",1
Людина робить трюк на велосипеді в загармоні.,Людина сидить у своєму улюбленому ресторані,2
Індонезійська жінка швей на порозі.,Жінка зап'ястить одяг.,0
Жінка і маленький хлопчик дивляться на книгу.,"Матір і дитина дивляться на книгу, а люди дивляться.",1
"Дівчина в білому пальто стоїть посеред фонтана, а хлопчик на задньому платі сміється.",Дві діти грають в шаровому ярмаці.,2
Конкурентний велосипедист їздить на велосипеді через дерев'яний міст над річкою.,Мотоцикліст гониться.,1
"Два чоловіки носять білі футболки, а один чоловік - синій з рожевим логотипом на передній стороні.",Три чоловіки чекають когось.,1
"Азіатська дівчина робить дивно обличчя, одягнувши футболку, на якій написано ""Радіо""",дівчина здивована почути її ім'я і носить футболку,1
"Член армії, який тримає зброю і сидить на вершині автомобіля.","Войськовий чоловік спав під деревом, тримав зброю.",2
Чоловік піднімається на скелеву стіну.,Жінка піднімається на скелеву стіну.,2
"Дві сирі особи стоять відразу за купоном захищеного столу на відкритому повітрі, при якому сидять люди.",Дві особи - маленькі діти.,2
"Дві молоді жінки, які носять верхній та піску з голим жирком, перебувають на танці.",Жінки танцюють в пільті.,0
Строитель на механічному ліфті.,Строитель на ліфті.,0
"Людина з багатоцветним шляпкою стоїть за мозаїком, на якому написані іспанські слова, і перед травою хілою.",людина стоїть за мозаїком,0
Велосипедний гонщик у чорному і оранжевому кольору на гонковому залізі тісно слідує за ним конкурент.,За гонщиком у чорному тягочає конкурент.,0
Собака пробігає через річку і проливає воду.,Собака їсть жабу в ручці.,2
"Чоловік у зеленої сорочки сміється поруч з жінкою в жовтому свитере, що тримає рожевий шар і носить рожеву тиару.",чоловік тримає в руках доньку рожевий шар,1
"Молодий чоловік з синьою шапкою, що годує кілька птахів.",Поблизу людини є птахи.,0
"Чоловік готує з горшкою на печі в кухні, спостерігають два інші чоловіки.","Один чоловік нагріває їжу, а двоє не готують.",0
"Блондинка, яка перевіряє стрільбу.",Жінка розраховує купити вінфіну.,1
Дві азіатські дівчата сидять на квітному полі.,Дві японські школяри сидять на полі.,1
"Група грає на мешок, а чоловік бігає, одягнувши все чорно.",Хоггер проходить перед живою групою.,0
"Жінка, яка тримає дівчину, яка носить яблуко-тематичний пальто.",Блондинка тримає дівчину в пальто.,1
Людина в довшому чорному пальто ходить поруч з кирпічним будівлею.,Людина в піжамі лежить на дивані в кафе.,2
"Молодий підлітковий хлопець, який займався скейтбордним трюком на будівельній площі, був уловиний у повітрі, коли перевертав долю.",Підлітковий підлітковий підлітковий підлітковий підлітковий підлітковий підлітковий підлітковий підлітковий підлітковий підлітковий підлітковий підлітковий підлітковий підлітковий підлітковий підлітковий підлітковий підлітковий підлітковий підлітковий підлітковий підлітковий підлітковий підлітковий підлітковий підлітковий підлітковий підлітковий підлітковий підлітковий підлітковий підлітковий підлітковий підлітковий підлітковий підлітковий підлітковий підлітковий підлітковий підлітковий підлітковий підлітковий підлітковий підлітковий підлітковий підлітковий підлітковий підлітковий підлітковий підлітковий підлітковий підлітковий підлітковий підлітковий підлітковий підлітковий підлітковий підлітковий підлітковий підлітковий підлітковий підлітковий підлітковий підлітковий підлітковий,1
У мішки тримає сміхну маленьку дитину.,"Маленький хлопчик використовує ручний міксер, щоб приготувати їжу.",0
"Група людей, які стоять перед складом стільців.",Деякі люди стоять біля стільців.,0
Дві команди грають в футбол на відносно порожньому стадіоні.,Група людей грає в спорт на стадіоні,0
Ірландський Сеттер витягує фонарик з водостоку.,Собака приносить щось для свого власника.,1
Хлопчаків бейсбольна команда носить форму.,Бейсбольна команда знімає командні фотографії.,1
Чоловік у білої рубачі тягне наток вниз по річці.,чоловік літає літаком,2
"Чоловік у футболці Кархарта біжить, щоб допомогти каубою, який впав з корови під час родео.",Два родичі ковбоїв на родео.,1
Чоловік у костюмі і червоній галстуці жестирує руками.,Чоловік у костюмі жестилює на зустрічі.,1
"Сноубордер, який їздить по рельсі.",Снеубордіст на рельсі на гори.,1
"Два чоловіка, які виправляють і продають їжу перед магазинами.",Два чоловіки готують,0
"Жінка на ковпачках, яка дивилася, як два вуличні артисти стрибають.",Жінка на інвалідному колисі книжки в бібліотеці.,2
"Молодий чоловік у чорному бігу на тротуар з глядачами, які сидять за ним в траві.","Чоловік, який сидить на стільці на веранді.",2
блондинка в танковій кабінеті їздить на автобусі.,Хлопчик у машині,2
Два хлопчика в швейто-шмітах на дитячому полі,Хлопці одягаються в танків і перебувають удома.,2
"Маленьке дитя, яке грає з волейболом біля води.",Хлопчик палює біля води.,0
Квоти ходять перед апельсиновим автобусом з багатьма людьми на борту.,Квоти йдуть по дорозі.,0
Жінку корують волосся іншою людиною з ковбою.,"людина, яка робить волосся.",0
"Жінка з довгими червонолосіми стоїть у своїй білої кухні, тримаючи губку і посміхаючись перед фотографом.",Червоноглавий позирує посред чищення кухні.,1
"Собака, яка дивиться на травні поля.",На вулиці собака.,0
Багато людей перетинають перетину.,Багато людей сидять перед дорожнім транспортом.,2
"Дві маленькі чорні собаки, що стоять один перед одним з відкритим ротом.",Дві собаки воюють один з одним.,1
Чоловік у чорному свитере сидить за столом і пише на клавіатурі комп'ютера.,Чоловіцька грудина покрита.,0
Лікарі виконують операцію.,лікар робить операцію реконструкції обличчя,1
Жінка стоїть за приладом на відкритій кухні ресторану.,Ненсі була за кухні в ресторані.,0
"Блондинка в кухні з ножем і греймом-крекерів, коли робить пирог з яблуками і вішнями.",Жінка робить пирог з яблуками і орехами.,2
Чоловік і жінка в середньовічному одязі бігуть по вулиці.,"Дві люди, одягнені в одяг, пов'язаний з бігом на Близькому Сході.",0
"Маленька дівчинка тримає кольоровий знак Рона Пола, на фотографії біля неї стоять і дорослі.","Маленька дівчинка тримає в обох руках переповнуть іграшку, а її мати - знак Рона Пола.",2
"Група людей зібралася в барі, а один чоловік у чорній футболіці тримає руку і сигналює до камери.","Група людей, які пиють і фотографуються.",0
"Чоловік, який сидить за столом, носить червоний свитер, а на столі - два склянки води; один склянка наполовину порожня.","Чоловік, сидячий за столом з другом",1
Жінка піднімається по сходах на стадіон.,"Жінка, яку я не знаю.",2
"Чорна собака біжить на травному дворі, а жінка в зелених годинниках з танцювального будинку.",Чорний собака дивиться телевізор.,2
Чоловік і жінка виконують складну танцюючу рутину.,дитина танцює,2
Дві чоловіки стоять біля кирпічної будівлі.,"Дві хлопці стоять на вулиці, коли приходять ще двоє друзів.",1
Група дівчат привітали.,Група мачорів привільняють на матчі.,1
Чотири дівчата в кухні біля тарілки броні.,Тарелка броні обкружена чотирма дівчатами,0
"Чоловік тримає гітару на натовпній вулиці, коли глядачі дивляться.","Чоловік, який тримає статую, ходить по коридорі.",2
Матір і її молода пісня насолоджуваються прекрасним днем на вулиці.,"Дощ, що довалив, тримав сьогодні вдома матері і сина.",2
"Чоловік ступає на свою маленьку дитину, яка дивиться в космос у їх дворі.",Чоловік дивиться на собаку.,2
"Темнокожена жінка, яка біжить з коп'єм у руці на спаленому апельсиновому поверхні, готуючись кинути його.",Жінка готується кинути коп'я.,0
"Жінка з волоссями на волоссях і в окулярах сидить і наклоняється на задній стороні дивана, дивлячись на свій телефон.",Жінка сидить на дивані і дивиться на свій телефон.,0
"Рэгбіст у чорному забирає м'яч, а захисники в білому оточують його.",Два команди грають за чемпіонат.,1
"Група молодих людей, які веселяться і танцюють.",Люди танцюють на вечірці.,1
Чоловік у сукенках і шляпці приховує до великого катушки.,Чоловік працює на верезі.,0
Собака номер чотири напередодні інших собак.,Тут багато котів.,2
"Молода дівчина, в звездній і смужному купальному костюмі, робить спіну на пляжі.","Дівчина, яка перевертається на пляжі.",0
Чоловік робить кукли з декількох різних кусочок.,Чоловік вісить фотографію на стіні.,2
"Чорна собака і коричнева і біла собака, які бігують і грають.",Дві собаки грали в погонку.,1
"Хлопчик у фіолетовій рубашке і зеленому пальтості стоїть серед натовпу, піднімаючи руки в повітря.",Хлопчик привідуває у своїй улюбленній бейсбольній команді під час гри.,1
Дитина сидить на тротуар з вхідними коньками і захисним обладнанням.,Дитина на вулиці.,0
Одинокий чоловік у чорній футболці стояв над натовпом в натовпному барі.,Чоловік виселяє з шчанюком.,0
Дівчина кохається на скейтборд поруч з яскраво-фарбовою стеною.,Дівчина позирує біля стіни.,1
Молодий спортсмен виконує високий скок біля стіни.,Молодий чоловік виконує високий стрибок.,0
Дві люди з велосипедним шлемом їхали на велосипедах в парку.,"Існує маршрут Тур де Франс, який проходить через гори, і 20 велосипедистів літають біля пункту прогляду.",2
"Люди всіх віків без обережності прогуляються по коридорах і коридорах киосков, проглядаючи різноманітні випадкові товари від продавців на великому блоховому ринку.",Люди всіх віків дивляться на речі на блоховому ринку.,0
Дівчина в жовтому капелющі піднімається на стрілку.,Жінка в жовтому жорсткому шляпці піднімається на скелю.,0
Чоловік у соломовій капелюші дивиться на фотографії на столі.,Чоловік у соломовій шапці дивиться на фотографії.,0
"Модель, що показує малюнок молотка в валізі.","Модель, що розкриває малюнок в валізі.",0
"Мабуть, це не так.",чоловік і дитина всередині,2
"скейтбордер, який робить трюк на рампі",Скейтбордер виконує олі-рампу.,1
Зубний технік завершує процедуру на пацієнті.,Пацієнт піддається седації.,1
Три жінки ходять по вулиці.,на вулиці три жінки ходять по ній.,1
"Жінка, яка схиляється підняти тенісний м'яч перед стіною з графіті.","Жінка схиляється до стінки, щоб взяти тенісний м'яч.",0
Чоловік стоїть за гігантською зеленим машиною.,Чоловік спить.,2
Чоловік викладає презентацію на Smart Board.,Чоловік записує під час відвідування лікаря.,2
"Відкрита, низька густота вулиця з кількома мешканцями, які спостерігають за боком будівлі.",Люди знаходяться в пустелі Сахара.,2
"Зневправлений образ чоловіка, який п'є зелену рідини в чаші.",Чоловік п'є сок з лимового.,1
"Хлопчик у зеленої сорочки схилений, дивлячись через телескоп, який лежить на стоянці в траві.",Хлопчик дивиться на віддалені об'єкти.,0
Дитина на пляжі поховалася в піску з лише головою.,Дитина на вулиці.,0
"Два чоловіки, які насолоджувалися ігрою в білярд.",Чоловік грає в пілці.,2
"Чоловік, який використовує PowerPoint під час лекції.",чоловік слухає лекцію Powerpoint,2
Чоловік у його барі вказує пальцем вгору.,Чоловік вказує на таван.,0
Дитина їсть з ложки.,Зрослий їсть з вилки.,2
"Маленький малюк, який насолоджується снігом і слізгає в ванні.",Детка слізгає в ванні.,0
"Жінка з темними волоссями і в синій бікіні стрибає, щоб побити волейбол.",Людина з волоссями.,0
"Футбольний гравець у синій і золотій одязі, який тримає футбол на футбольній грі.",футболіст показує себе,2
Темна собака в воді.,Собака мока.,0
Молоді дівчата слухають з книгами перед собою.,Дівчата тримають кніги.,1
"Жінка обтягає чоловіка за руки, коли він схиляється, щоб поцілувати її.",Ніхто не схиляється.,2
"Щасливий, захоплений хлопчик на гірських гірських горах.",Хлопчик на гірськолижній гонці.,0
"Молодий чоловік у чорному одязі стоїть і виливає напої сирокосій жінці, яка сидить за столом серед людей, які зібралися на сході.",собака стрибає високо,2
Молодий хлопчик приховає дівчину з чорним парасолем.,Молодий чоловік приховає дівчину з чорним парасолем.,0
"натовп людей, які ходять по вулиці",І старі пара сидить на скалах в парку.,2
"Чоловік на велосипеді в половині шляху через спину перевертається, поки натовп дивиться з захопленням.",Чоловік робить перевернення за спаборніцтвом.,1
"Руки з намальованими нігтями, що розкручують лак на нігті.",Вони п'ють пляшку очищення Windex.,2
Група людей слухає реч.,Люди на вечері дивляться п'єсу.,2
"Два білі чоловіки борються на синій ковпаці, а інші дивляться.",Два чоловіки сплять на дивані.,2
"вуличний продавець, який подавав їжу своїм клієнтам.",У вуличному продавці продаються курячі тако.,1
"Дві жінки розмовляють і сміються, коли люди проходять мимо.","Пара жінок сміялася, коли проходять інші ході.",0
"Середній хор змішаного статі співає, а директор рухається, щоб зберегти біт.",Хор готується до концерту.,1
"Маленьке дитину вісім років сидить на вершині скелі, з видом на живописний ліс під ним.",Вони на космічному кораблі.,2
Три жінки сидять поруч з сходами.,Багато жінок біля сходів.,0
"Дві азіатські жінки стоять у кимоно, усміхаючись.",Дві жінки одягнені в традиційну одяг.,0
"Молоді люди, які використовують зброю і відстежують на спортивній залі.","Є люди, які займаються стрілянням.",1
Маленька чорна собака і велика коричнева собака знаходяться на снігу.,Вчора заснег.,1
"Людина стрибає над снігом, коли їхні льодовики перетинаються.",Людина носить льодовики.,0
"Діти грають в бейсбол, а п'єсу називають.",Діти грають в баскетбол разом.,2
"Дві люди, які чистяться в дихальних масках",Дві люди чистяться без захисту,2
Діти грають в софтбол.,Діти на дворі.,1
"алею, відкриту для двох людей, що проходять мимо",Алея відкрита для людей.,0
Чотири людини вибирають їжу з буфету.,Люди все рублять дрібниці.,2
Два старі чоловіки з білими рубашками і чорними штанами грають на вільню.,Обидва чоловіки старі.,0
"Дехто стоїть біля будівлі, де багато снігує.",Люди в сніжній парті,0
Два чоловіки грають на гітарах і співають на сцені з звуковим обладнанням.,Два чоловіки грають на гітарах,0
Маленьке дитя на коняній спині.,Дитина влякається.,1
Два мотоциклісти зупинилися в ручі.,Два мотоциклісти зупинилися в ручі.,0
"група людей, які стоять у черзі.","Люди, які насолоджуються пікніком на траві.",2
"Чоловік тримає ділянку пчелиного косту, а цигара вісеть між його губами.",Чоловік намагається отримати мед.,1
"Футбольна команда бігає, коли кікер докопає футболу ногою.",Люди грають у теніс.,2
Ця чоловіча команда біжить по грунтовій дорозі з каною.,Чоловіки біжать.,0
"Старі пара, що оглянулися від камери, прогуляються по садовому шляху.",Старі пара одружена.,1
Жінка в короткій футині стоїть проти кирпічної будівлі.,Модель у короткій футі позирує перед кирпічним будівлею.,1
Чоловік кидає бейзбольний бій на грунтовому кургані.,Чоловік кидає швидку м'яч.,1
"Чоловіки стоять на платформах, прив'язані до вертикальних брев з пілками.",Чоловіки стоять з острими ножами.,0
Дівчина з червонолосою модельністю.,Дівчина моделює.,0
Дві діти насолоджувалися день в сонячному окрузі Піонера.,Люди спить у кабіні.,2
Чоловік у синій грає в футбол.,"чоловік, який зіграє у футбольному змаганні",1
Чоловік у сонячних окулярах і синій сорочки на скейтбордах перед яскраво-жовтим будівлею з пальмами.,Чоловік скейтборд із жінкою.,1
"Чоловік у жовтій сорочки знімає фотографії, а чоловік у джинсових обертолях змінює шину на чорному автомобілі.",Два чоловіки разом будують машину,1
Жінка бере їжу з паліці.,Жінка отримує макарони з сиром з паліці.,1
Жінка готує їжу в кухні.,Жінка готує в кухні Днядянок.,1
"Одні мехи мають шерсти, які притягуються до спини, схожі на мохавка.",Медведи лежать на спині.,2
Молодий хлопчик у зеленому футболці відкидає очі від фотографа.,Хлопчик світно посміхається на своїй фотографії.,2
собака спринтує через воду.,Собака біжить на вулиці.,0
Хтось висікає яйця ручним міксером.,"Шеф вважає, що змішування рук є єдиним правильним способом.",1
Маленька дівчинка в полосових штанах лежить на колах маленької дівчинки і хлопчика.,Хлопчик носить капелюх.,1
Дві чоловіки в різних кольорних футболістах грають в хокей.,"Два чоловіки, які займаються спортом.",0
три діти грають у снігу в міській зоні.,Деякі діти грають у снігу.,1
"Чоловік у капелюзі ""Тексас Лонгхорнс"" використовує пістолет на даху.",Чоловік працює на даху.,0
"Жінка, яка вивчає зразки під мікроскопом.",Чоловік розрізняє червонів у своїй лабораторії.,2
"Дві жіночі мачориди відгукуються, коли їх піднімають чоловічі мачори.",Дві хлопці роблять фліпи.,2
Браунна собака біжить на дворі.,Браунна собака лежить на веранді.,2
"Червоне будівля з людьми, які сидять на газоні перед собою.",Люди збираються на сімейне збір.,1
"коричнева і чорна собака, яка біжить на березі біля пляжу.",Браунна і чорна собака біжить на березі біля пляжу за чоловіком.,1
Мотоциклетний гонщик комусь поживовує.,Чоловік підкидає палець другому гонщику.,1
"Особа, яка наклонілася до стіни, поруч з малюнком, який був вирізан.","Людина, яка також схильна до розрізання",0
Приємна модель макіяжує обличчя.,Модель збирається піти зіграти в футбол.,2
Желтое таксі і людина на велосипеді їдуть у одному напрямку.,Желтий таксі і велосипед їдуть протилегла один одному.,2
Два чоловіки на мотоциклах гоняться на трасі.,Дві жінки гоняться.,2
маленька чорна собака в океані з певними камінями на задньому плані,Маленька чорна собака плаває до суші.,1
"Два щілі чоловіки, один сидить перед комп'ютером, а інший за ним, перед червоними вікнами.",Чоловіки всередині.,0
"Жінка, граюча в софтбол, драматично слізне в тарілку, коли основник готовий до того, щоб зламати м'яч.",Софтбольна гравця збирається забити очко для своєї команди.,1
"Три діти, які грають на підлозі з іграшками.",Деякі діти грають з фігурами.,1
"Молодий хлопчик, який спускає ботинки.","Дитина, яка зняла ботинки.",0
"Група з 11 сміючих дітей та підлітків поділена на дві групи, у великому закритому басейні, з заднім особою в кожній групі підняти руки.",11 дітей грають у водное поло.,1
"Собака біжить на піску, гонившись за м'ячкою.",собака на пляжі,1
"За ним, з рядом дерев, зображено хлопчика в жовтому пальто, який стрибає з сена в різних позиціях.",Хлопчик проводить час на вулиці.,0
"Чоловік і молодий блондинка сидять перед тарією, повною хлібків.",Чоловік і хлопчик сидять за їжею.,0
Жінка їздить на велосипеді по вулиці.,На вулиці є людина.,0
"Дві люди поділяють смугу на червоній гумовій дорозі, коли вони вбиваються в криву.",Люди діляться простором.,0
Островна жінка готує на вулиці з ананасами і фруктами.,Там на вулиці готує жінка.,0
"Хлопчик, який плаває в басейні.","Хлопчик плаває в басейні, яка знаходиться в парку.",1
"дві маленькі діти, які грають в лакрос",Деякі діти займаються спортом.,1
"Чоловік грає на мешок, стоячи поруч з жінкою в світло-синій одязі з показанням її носорога.",Чоловік і жінка виконують музичний твір.,1
Дві діти біжать на пляжі.,діти спить.,2
"Сцена в ніч, в якій солдат у військовій формі стоїть за металевими вуличними бар'єрами, розмовляючи на радіокомунікаційному пристрої, перед танком.",гравд у військовій техніці стоїть біля бар'єру і танку,0
"Дитина, одягненій для холоду, сидить у снігу.",дитина - хлопчик,1
Чоловік у коричневому пальто перед знаком з деревом.,Костюм зелений.,2
Чоловік катається через тунель.,Хтось у тунелі,0
"Дівчина, яка носить фіолетову футболку і сороки, позирує в танці.",Дівчина в теплої погоді позирує.,0
Сидячий азіатський чоловік у жовтій сорочки з скейтборд у колінах.,Азіатський чоловік їздить на скейтборі.,2
"Молода чорночіста дівчинка посміхається до камери, утримуючи великий комах.",Дівчина щаслива.,0
Індійські жінки танцюють перед натовпом,Натовп дивиться танці індіанських дам.,0
"Жінка, яка носить окуляри і чорну блузу, тримає в руках ложку і міску і затягує пластикову вилокну в зуби, стоячи в кухні.",Жінка в кухні.,0
Хтось намагається зробити фото на конгресі.,Це спортивна конгрес.,1
Чоловік у синій сорочки стоїть на вулиці і курить сигарету.,"Чоловік у синій сорочки курить на вулиці, бо хоче бути один.",1
Брунетка дивиться над заградину балкону.,Брунетка на вулиці під сонцем.,1
"Афроамериканка, яка отримала куклу від сім'ї, яка прийняла її з штатів.",Дівчина тримає ляльку.,0
Людина в сумових штанах і коричневому капуті з рюкзаком ходить по тротуар з знаками на китайській мові.,людина в рюкзаку ходить,0
"Жінка з порожнім виразком кидає футбол, як чоловік у сірому сорочку дивиться на свій телефон.",Жінка кидає фрісбі.,2
Людина в чорній куртці і зелені штани скидає вниз по хвилині,Людина йде до льодовикового ложу.,1
Жінка сидить на публічній скамейці.,Жінка сидить.,0
Чоловік у пілотній костюмі випускається з літака.,Пілот приземлив літак на землі.,1
Дві діти займаються бойовими мистецтвами на дитячому полі.,Діти на вулиці.,0
Сноубордер стрибає з рампи.,Люди плавають.,2
"Три діти, які роблять очний контакт.",Деякі діти грають в гру.,1
"Чоловік з надмірною вагою грає на електричній гітарі, а на ній білий капелюх.","Мяжчина грає на електричній гітарі, а на ній білий капелюх.",0
"Чорний чоловік, який працює на фанеровому сцени.",Встановочний чоловік заправляє сцену,1
"Декарі дівчата стрибають по вуліці з людьми, які ходять навколо.",Дівчата стрибають по веревці.,0
"Жінка з чорною курткою і наушниками, що стоїть поруч з будівлею, яка знаходиться під будівництвом.","Леді стояла біля незавершеного будинку, в якому вона незабаром буде жити.",1
"Дві діти, старший хлопчик і молода дівчинка, ходять по тротуарі в зімових пальтох.",Дві діти ходять на вулиці,0
Маленький хлопчик їздить на велосипеді на дорозі.,Хлопчик їздить на велосипеді на вулиці без шлему.,1
"Одна жінка, яка носить синій суверт і чапку на льодовику, тримає камеру і стрибає.","Жінка, яка носить червону футболку і баскетбольну шапку, тримає рибу.",2
Кухар підготував їжу в кухні.,Людина працює з їжею.,0
Дитина грає з іграшкою на дитячому полі.,дитина на дитячому полі,0
Чоловік з жорстким шляпом і жовтим дождевим пальтою стоїть біля апельсинового конусу.,Чоловік носить капелюх і дожджний пальто.,0
"Маленька група людей, які носять холодні шляпки і стоять на краю трудячої води.",Група людей у плавках розслабляються на пляжних рушниках на краю басейну.,2
"Старий чоловік у зеленої сорочки сидить на пробігу, тримаючи камеру.","Старіший чоловік сидить на вулиці, одягнувши червону сорочку і тримаючи радіо.",2
Дівчина танцює з дорослими в піску.,Дівчина танцює зі своєю сім'єю.,1
Чоловік з жорстким шляпкою прив'язаний до сталевої конструкції.,"Чоловік працював над дещо, поки його затягали.",1
Один білондинка-офіцер і один брюнетка-офіцер розмовляють один з одним,Два копа розмовляють.,0
"Чоловік у алеї грає на аккордеоні, коли люди дивляться.","Чоловік на алеї чекає, щоб грабити когось, коли глядять люди.",2
Очистка вікон прив'язана до гальмені.,Чоловік готує вечерю для своєї сім'ї.,2
Дві самки і один самка сидять за столом і їдять.,"люди, які їдять разом",0
Дівчина сидить на тротуар.,Самка сидить на тротуар.,0
"Браунна і біла собака, яка грає на траві.",На фотографії зображена лише чужа змія.,2
"Жінка в коричневій рубаці дивиться, як інша жінка сушить волосся.",Дві жінки закінчують душ.,1
Люди ходять по азіатському ринку.,Люди шукають чогось.,1
Маленька дівчинка прогуляється на велосипеді по газоні.,Хлопчик їздить на велосипеді.,2
Чоловік у джинсах і білої рубаці на скейтборі в повітрі.,"Він намагається зробити важкий трійк після того, як зіскочив з рампи.",1
Дві хлопці ремонтують маленький велосипед.,Два хлопці ремонтують велосипед.,0
Військова жінка вивчає слайд на мікроскопі.,Жінка приймає банальний ванна в ванні з джакузи.,2
"Жінка в передніковій посміхається, коли щось піднімає в горшок.",Жінка перемішує горшок з посміхом на обличчі.,0
Дитина в високому кресле грає з іграшкою.,Смутне дитя на високому кресле грає з іграшкою.,1
Дитина грає на бруді.,дитина грає з брудом,0
Чоловік у стачках гралює вінер і мясопорошок на грилі.,Чоловік у окулярах їде на гру.,2
"Чоловік у окулярах, який працює на обробці їжі і стоїть за яйцями, мукою, апельсинами і маслом.",шеф-поварі готують тесто,1
Добре одягнений чоловік тримає кальяну на публіці.,Чоловік добре одягається.,0
Жінка в апельсинових робочих одягах поруч з великою синьою сміттяю допомагає чоловікові втягнути бруду і воду в міску.,Жінка допомагає чоловікові.,0
Молодий чоловік бере участь у змаганні з стрілянням.,Молодий чоловік збирається стріляти з далекого відстані.,1
Велосипедник стрибає на пірамідній рампі.,Хтось їздить на велосипеді.,0
Людина в синій рубачі і білої капелюші і людина в соровій капелюші і червоній капелюші підходь до дерева на боці холма.,Ці двоє їхали на велосипеді по хрібті до дерева.,2
